run_name,model,augmentation,lr,batch_size,optimizer,scheduler,epochs,status,best_epoch,best_val_acc,lastEpoch_val_acc,epochs_nums,total_time_sec,device,eval_accuracy,val_metrics_json
resnet_aug-strong_lr-0.0001_bs-128_opt-adamw_sch-cosine_ep-50,resnet,strong,0.0001,128,adamw,cosine,50,ok,32,0.9912,0.9902,42,1433.89115524292,cuda,0.9912,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.0001_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-0.0001_bs-128_opt-adam_sch-cosine_ep-50,resnet,strong,0.0001,128,adam,cosine,50,ok,31,0.9908,0.99,41,1393.965675354004,cuda,0.9908,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.0001_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-0.0005_bs-128_opt-adam_sch-cosine_ep-50,resnet,strong,0.0005,128,adam,cosine,50,ok,27,0.9904,0.989,37,1257.7577929496765,cuda,0.9904,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.0005_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-5e-05_bs-128_opt-adamw_sch-cosine_ep-50,resnet,strong,5e-05,128,adamw,cosine,50,ok,13,0.99,0.9892,23,784.1765830516815,cuda,0.99,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-5e-05_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-0.0001_bs-128_opt-adamw_sch-plateau_ep-50,resnet,strong,0.0001,128,adamw,plateau,50,ok,18,0.9898,0.9888,28,948.7347555160522,cuda,0.9898,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.0001_bs-128_opt-adamw_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-0.0001_bs-128_opt-adamw_sch-cosine_ep-50,resnet,light,0.0001,128,adamw,cosine,50,ok,15,0.9896,0.988,25,506.99783730506897,cuda,0.9896,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0001_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-5e-05_bs-128_opt-adam_sch-cosine_ep-50,resnet,strong,5e-05,128,adam,cosine,50,ok,13,0.9896,0.9888,23,777.1546680927277,cuda,0.9896,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-5e-05_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
resnet_aug-light_lr-0.001_bs-128_opt-adamw_sch-plateau_ep-50,resnet,light,0.001,128,adamw,plateau,50,ok,21,0.9894,0.9886,31,653.7633271217346,cuda,0.9894,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.001_bs-128_opt-adamw_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-0.0005_bs-128_opt-adam_sch-cosine_ep-50,resnet,light,0.0005,128,adam,cosine,50,ok,37,0.9892,0.9884,47,965.9293060302734,cuda,0.9892,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0005_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
resnet_aug-light_lr-5e-05_bs-128_opt-adam_sch-cosine_ep-50,resnet,light,5e-05,128,adam,cosine,50,ok,11,0.9892,0.989,21,422.2224905490875,cuda,0.9892,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-5e-05_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
resnet_aug-strong_lr-0.001_bs-128_opt-adamw_sch-cosine_ep-50,resnet,strong,0.001,128,adamw,cosine,50,ok,27,0.9892,0.9884,37,1262.8264334201813,cuda,0.9892,outputs/grid_search_fixed_ep50_bs128/resnet_aug-strong_lr-0.001_bs-128_opt-adamw_sch-cosine_ep-50/val_metrics.json
resnet_aug-light_lr-0.0001_bs-128_opt-adam_sch-cosine_ep-50,resnet,light,0.0001,128,adam,cosine,50,ok,9,0.989,0.9884,19,393.21616673469543,cuda,0.989,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0001_bs-128_opt-adam_sch-cosine_ep-50/val_metrics.json
resnet_aug-light_lr-0.0001_bs-128_opt-adam_sch-plateau_ep-50,resnet,light,0.0001,128,adam,plateau,50,ok,10,0.989,0.989,20,411.6340959072113,cuda,0.989,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0001_bs-128_opt-adam_sch-plateau_ep-50/val_metrics.json
resnet_aug-light_lr-0.0001_bs-128_opt-adamw_sch-plateau_ep-50,resnet,light,0.0001,128,adamw,plateau,50,ok,25,0.989,0.9888,35,724.809255361557,cuda,0.989,outputs/grid_search_fixed_ep50_bs128/resnet_aug-light_lr-0.0001_bs-128_opt-adamw_sch-plateau_ep-50/val_metrics.json
